上班	v	to go to work; be at work	我八点上班。
上瘾	v	to become addicted	他玩游戏玩上瘾了。
上网	v	to go online	我晚上上网。
上课	v	to attend class	我们上午上课。
上进	?	self-motivated; ambitious	她很上进，学习一直很努力。
上面	?	on; above; top	书在桌子上面。
下	v	to fall (rain/snow)	下雨
下午	?	afternoon	下午我去商店。
下去	v	to go down	请下去。
下属	?	subordinate; staff member	经理正在和下属谈话。
下来	v	to come down	请下来。
下班	v	to finish work	六点下班
下课	?	class ends; finish class	几点下课
下载	v	to download	我已经下载了文件。
下降	v	to decline; drop	气温下降了。
下雨	v	to rain	今天下雨了。
下面	?	below; under	狗在椅子下面。
不	?	not; no	我不是老师。
不久	adv	soon; before long	他不久就回来了。
不仅	?	not only	他不仅聪明，而且认真。
不但	?	not only	他不但会说中文，还会说英文。
不但……而且……	?	not only…but also…	他不但聪明，而且努力。
不像话	?	unreasonable; outrageous	这样对同事太不像话了。
不免	?	inevitably; cannot avoid	第一次上台不免紧张。
不到	?	less than; not reach	走路不到十分钟。
不可思议	?	unbelievable; incredible	这个结果真不可思议。
不同	a	different	我们的想法不同。
不堪	?	unable to bear; unbearable	天气热得让人不堪忍受。
不够	?	not enough	时间不够。
不好意思	?	sorry; excuse me	不好意思，我来晚了
不如	v	to be inferior to; not as good as	这个办法不如那个好。
不妨	?	might as well; may as well	累了不妨休息一下。
不安	?	uneasy; disturbed	他很不安。
不客气	?	you're welcome	不客气。
不屑	v	to disdain; think not worth doing	他不屑解释这件小事。
不屑一顾	v	to disdain; not worth a glance	他对这种说法不屑一顾。
不得不	?	have to; must	我不得不加班。
不得了	?	extremely; terribly	疼得不得了。
不得已	?	as a last resort; have no choice	我不得已才改变计划。
不惜	?	not hesitate to; spare no	他不惜花时间帮助学生。
不愧	v	to be worthy of; indeed	他不愧是专家。
不择手段	?	by any means; unscrupulously	为了成功不能不择手段。
不敢当	?	you flatter me; I don't deserve the praise	您说我是专家，我可不敢当。
不料	?	unexpectedly; to one's surprise	我以为会下雨，不料天晴了。
不断	?	continuously	他不断进步。
不时	?	from time to time	他不时看看手机。
不止	?	more than; not only	这里不止有一个问题。
不然	?	otherwise; or else	快点儿，不然会迟到。
不用	?	need not; do not need to	你不用等我。
不由得	?	cannot help; involuntarily	我不由得笑了。
不相上下	?	equally matched; about the same	两队实力不相上下。
不禁	?	cannot help	看到美景，我不禁停下脚步。
不管	?	no matter	不管多忙，他都学习。
不耐烦	?	impatient	他很不耐烦。
不行	?	terribly; extremely	我累得不行了。
不要	?	do not; don't	不要担心。
不要紧	?	it doesn't matter	没关系，不要紧。
不见	?	be missing; disappear	我的手机不见了。
不见不散	?	don't leave until we meet; see you there	八点见，不见不散
不见得	?	not necessarily	贵的不见得好。
不言而喻	?	self-evident; obvious	健康的重要性不言而喻。
不足	?	insufficient; to be less than	时间不足。
不过	conj	but; however	这个很好，不过有点儿贵。
不错	?	not bad; pretty good	这个电影不错。
不顾	?	regardless of; not care about	他不顾大家的反对，坚持要去。
与	?	with; and	我与他一起工作。
与其	?	rather than	与其等，不如现在走。
与日俱增	v	to increase day by day	他的兴趣与日俱增。
丑(陋)	a	ugly	样子很丑陋。
专业	?	major; specialty; professional	他很专业。
专家	?	expert	他是一名专家。
专程	v	to make a special trip	我专程来看你。
专长	?	specialty; strength	他的专长是摄影。
专门	?	specially; specifically	我专门来找你。
专题	?	special topic; feature	电视台做了一个环保专题。
世代	?	generation after generation	这个家庭世代住在这里。
世界	?	world	世界很大。
世纪	?	century	现在是二十一世纪。
丘陵	?	hills; hilly area	这一带多丘陵。
丙	?	third; Bing	这篇文章分甲、乙、丙三部分。
业余	?	amateur; spare-time	我业余时间喜欢读书。
业务	?	business; professional work	我想了解业务。
丛	?	cluster; clump	花园里有一丛花。
东	?	east	银行在东边。
东张西望	v	to look around	他站在门口东张西望。
东方	?	east; the East	太阳从东方出来。
东西	?	thing; stuff	我去商店买东西。
东边	?	east side	超市在学校东边。
丝毫	?	in the slightest; at all	我丝毫不担心。
丝瓜	?	luffa; sponge gourd	院子里种了几棵丝瓜。
丢	v	to throw; lose	我的钥匙丢了。
丢三落四	?	forgetful; careless	他总是丢三落四。
丢人	?	embarrassing; lose face	别怕丢人，大胆说。
两	mw	two (before a measure word)	我有两个朋友。
严厉	?	strict; severe	老师对我们很严厉。
严密	?	tight; strict; thorough	包装得很严密。
严寒	?	severe cold	他们在严寒中继续前进。
严峻	a	serious; severe	形势越来越严峻。
严格	?	strict	老师很严格。
严禁	?	strictly prohibit	这里严禁吸烟。
严肃	a	serious; solemn	表情很严肃。
严重	a	serious	这个问题很严重。
丧失	v	to lose; forfeit	他暂时丧失了记忆。
个	mw	general measure word	我买一个杯子。
个人	?	individual; personal	我想了解个人。
个体	?	individual	每个个体都有差异。
个别	?	individual; exceptional	个别学生迟到了。
个子	?	height; stature	他个子很高。
个性	?	personality	我想了解个性。
中介	?	agent; intermediary	我去中介问房子。
中午	?	noon	中午我吃饭。
中国	?	China	我去中国。
中央	?	center; central	广场中央有一座雕塑。
中学	?	middle school	他在中学上学。
中学生	?	middle school student	她是中学生。
中心	?	center	我去过这个中心。
中意	v	to like; be satisfied with	我很中意这款手机。
中文	?	Chinese language	我在学中文。
中断	v	to interrupt; stop	比赛因大雨中断。
中旬	?	middle ten days of a month	我记得那个中旬。
中间	?	middle; between	他坐在我和小王中间。
中餐	?	Chinese meal; Chinese food	我喜欢吃中餐。
丰富	v	to enrich; rich	这里的生活很丰富。
丰收	?	bumper harvest; to have a good harvest	今年农民获得丰收。
串	mw	string; measure word	我买了一串葡萄。
临	?	just before; about to	临走前给我打电话。
临床	?	clinical	这种药正在进行临床试验。
临时	?	temporary	这是临时决定。
为	v	to become	水变为冰。
为了	prep	in order to; for	为了健康，我每天运动。
为什么	?	why	你为什么去北京？
为期	?	lasting for; for a period of	这是一个为期三天的活动。
为难	v	to make things difficult; embarrassed	别为难他了。
主人	?	master; owner; host	这家的主人很热情。
主任	?	director; person in charge	主任正在开会。
主办	v	to host; organize	学校主办这次比赛。
主动	?	active; on one's own initiative	他很主动。
主导	v	to lead; dominant	消费者将主导设计过程。
主席	?	chairperson	我想了解主席。
主张	v	to advocate; position	我主张先调查再决定。
主意	?	idea; plan	这是个好主意。
主持	v	to host; preside over; host	主持会议
主流	?	mainstream	这是目前的主流观点。
主管	?	person in charge; supervisor	我先问一下主管。
主要	a	main; mainly	我来中国主要是学习汉语。
主观	?	subjective	他很主观。
主题	?	theme	我想了解主题。
举	v	to raise; give (an example)	请举个例子。
举世瞩目	v	to attract worldwide attention	这场比赛举世瞩目。
举办	v	to hold; organize	学校举办了活动。
举动	?	action; behavior	他的举动让我很意外。
举行	v	to hold (an event)	比赛明天举行。
举足轻重	v	to play a decisive role	睡眠对健康举足轻重。
久	?	long time	好久不见。
久违	?	long-awaited; long-lost	这是久违的阳光。
义务	?	duty; obligation	我想了解义务。
之	?	linking particle	这是生活的一部分。
之后	?	after; afterwards	下班之后我回家。
之间	?	between; among	两个人之间有距离。
之际	?	at the time of; on the occasion of	毕业之际，大家互相祝福。
乌黑	?	jet-black; pitch-black	她有一头乌黑的头发。
乐意	?	willing; glad	我很乐意帮助你。
乐极生悲	?	extreme joy turns to sorrow	生活中有时会乐极生悲。
乐观	?	optimistic	他很乐观。
乐谱	?	music score	他正在看乐谱。
乐趣	?	pleasure; fun	学习语言有很多乐趣。
乒乓球	?	table tennis	我喜欢打乒乓球。
乖	?	well-behaved	他很乖。
乘	v	to ride; take (transport)	我们乘火车去上海。
乘坐	v	to take; ride (transport)	我每天乘坐地铁上班。
乘客	?	passenger	乘客很多。
乙	?	second; B	乙坐在甲旁边。
九	num	nine	我们九点上课。
也	adv	also; too	我也喜欢中国菜。
也许	adv	maybe; perhaps	他也许会来。
习俗	?	custom; tradition	每个地方都有自己的习俗。
习惯	?	habit; to be used to	我习惯早起。
乡镇	?	township; town	这个乡镇不大。
书	?	book	我看书。
书包	?	schoolbag	这是我的书包。
书店	?	bookstore	我去书店买书。
书柜	?	bookcase	书都在书柜里。
书籍	?	books; publications	图书馆里有很多书籍。
买	v	to buy	我想买一个杯子。
乱	?	messy; disorderly	房间有点儿乱。
了	part	particle indicating change/completion	她二十岁了。
了不起	?	amazing; remarkable	他很了不起。
了解	v	to understand; to know about	我想了解中国文化。
争先恐后	v	to rush to be first	孩子们争先恐后地回答。
争取	v	to strive for	我们要争取机会。
争夺	v	to compete for; fight over	两队在争夺冠军。
争气	v	to bring credit; make good	孩子很争气，考上了大学。
争端	?	dispute; conflict	双方正在解决争端。
争议	?	controversy; dispute	这个决定引起了争议。
争论	v	to argue; dispute	他们在争论这个问题。
事	?	thing; matter	有事
事业	?	career; undertaking	她很重视自己的事业。
事件	?	event; incident	警方正在调查这个事件。
事先	?	in advance	请事先告诉我。
事实	?	fact	我想了解事实。
事情	?	thing; matter	我有事情。
事故	?	accident	昨天发生了一起事故。
事物	?	thing; object	我想了解事物。
二	num	two	我有两个孩子。
二氧化碳	?	carbon dioxide	人呼吸会产生二氧化碳。
于	prep	from; out of; at	他出生于北京。
于是	conj	therefore; then	天开始下雨，于是我们回家了。
亏待	v	to treat unfairly	公司没有亏待员工。
亏损	?	loss; to suffer a loss	公司去年亏损很多。
云	?	cloud	天上有很多云。
互相	?	mutually; each other	我们互相帮助。
互联网	?	Internet	我每天使用互联网。
五	num	five	我五点下班。
井	?	well	村里有一口老井。
亚军	?	runner-up; second place	他获得了比赛亚军。
些	?	some; a few	我买这些水果。
交	v	to make (friends)	我喜欢交朋友。
交代	v	to explain; account for	请把事情交代清楚。
交叉	v	to cross; intersect	两条路在这里交叉。
交往	v	to associate; interact	我喜欢和不同的人交往。
交换	v	to exchange	我们交换了电话号码。
交易	?	transaction; to trade	这笔交易已经完成。
交流	v	to communicate; exchange	我们常常交流学习经验。
交通	?	traffic; transportation	这里交通很方便。
交际	?	social contact	我想了解交际。
亦	adv	also; too	这种方法亦可使用。
产业	?	industry	旅游是当地的重要产业。
产品	?	product	我想了解产品。
产生	v	to emerge; to arise	这个办法产生了效果。
享受	v	to enjoy	我很享受现在的生活。
京剧	?	Beijing opera	我喜欢看京剧。
亮	a	bright; to shine	天渐渐亮了。
亲切	a	warm; friendly	他很亲切。
亲密	?	close; intimate	他们是很亲密的朋友。
亲戚	?	relative	他是我的亲戚。
亲热	?	affectionate; intimate	孩子和妈妈很亲热。
亲爱	?	dear; beloved	亲爱的妈妈，生日快乐！
亲自	?	personally	我亲自去看看。
人	?	person; people	他是中国人。
人为	?	human-caused; artificial	这是人为错误。
人员	?	staff; personnel	我想了解人员。
人士	?	person; people in a field	很多专业人士参加了会议。
人家	pron	others; someone; they	人家已经告诉你了。
人工	?	manual labor; manpower; artificial	这项工作需要人工完成。
人性	?	human nature	这个故事让人思考人性。
人才	?	talented person	他是一名人才。
人格	?	character; personality; moral integrity	我们应该尊重每个人的人格。
人民	?	people	他是一名人民。
人物	?	figure; personage	我想了解人物。
人生	?	life	我想了解人生。
人类	?	humankind	我想了解人类。
人间	?	the human world; earth	这里美得像人间仙境。
亿	num	one hundred million	一亿人
什么	pron	what	你叫什么名字？
今后	?	from now on	今后我要多运动。
今天	?	today	今天星期三。
今年	?	this year	我今年二十岁。
介绍	v	to introduce	我介绍一下我的朋友。
仍旧	adv	still; as before	几年过去了，他仍旧住在这里。
仍然	adv	still; yet	他仍然在等。
从	prep	from	我从北京来。
从事	v	to engage in	他从事教育工作。
从前	?	formerly; in the past	从前这里没有地铁。
从容	?	calm; unhurried	他从容地回答问题。
从小	?	since childhood	我从小喜欢运动。
从来	adv	always; all along	我从来不迟到。
从此	?	from then on	从此他每天运动。
从而	?	thus; consequently	他每天练习，从而提高了水平。
仓促	?	hasty; hurried	时间太仓促了。
仓库	?	warehouse	货物都放在仓库里。
仔细	a	careful; carefully	请仔细看题。
他	pron	he; him	他是医生。
他们	pron	they (male/mixed)	他们都是学生。
付	v	to pay	付钱
付款	v	to pay	现在可以付款。
代价	?	cost; price to pay	成功有时需要付出代价。
代表	?	representative; to represent	代表公司
令	v	to make; cause	这个消息令我很高兴。
以	?	by means of; with	请以这个为标准。
以上	?	above; more than	十岁以上可以买这张票。
以为	v	to think; to assume	我以为你知道。
以便	?	so that; in order to	请提前准备，以便按时出发。
以免	?	so as to avoid	早点儿出门，以免迟到。
以前	?	before; formerly	我以前住在北京。
以及	?	as well as	我买了水果以及饮料。
以后	?	after; later; in the future	吃饭以后我看书。
以外	?	besides; outside of	除了中文以外，我还学英文。
以往	?	in the past; previously	今年比以往更忙。
以来	?	since; ever since	今年以来变化很大。
以致	?	so that; to such an extent that	他太忙，以致忘了吃饭。
仪器	?	instrument; device	这台仪器很精确。
仪式	?	ceremony; ritual	毕业仪式下午开始。
们	?	plural suffix for people	你们
件	mw	measure word for clothes/items	我买了一件衣服。
价值	?	value	我想了解价值。
价格	?	price	这个价格有点儿高。
价钱	?	price	这个房间价钱怎么样？
任	v	to let; allow; no matter	任他怎么说，我都不生气。
任何	?	any; whatever	任何问题都可以问我。
任务	?	task; mission	我已经完成任务了。
任性	?	willful; headstrong	孩子有时很任性。
任意	?	any; at will	你可以任意选择一个。
任重道远	?	a heavy responsibility and a long way to go	保护传统文化任重道远。
份	mw	measure word for jobs/documents	我找了一份工作。
仿佛	?	as if; to seem	这里仿佛是春天。
企业	?	enterprise; company	这是一家大企业。
企图	v	to attempt; intend	他企图逃走。
休假	v	to take a vacation; be on leave	他下周休假。
休息	v	to rest	我想休息。
休闲	v	to relax; leisure	周末我喜欢休闲一下。
众所周知	?	as everyone knows	众所周知，水对生命很重要。
优先	v	to give priority to; priority	老人可以优先上车。
优势	?	advantage	我想了解优势。
优异	?	excellent; outstanding	他取得了优异成绩。
优点	?	advantage; merit	他有很多优点。
优秀	?	excellent; outstanding	他很优秀。
优美	a	beautiful; graceful	这里的景色很优美。
优胜劣汰	?	survival of the fittest	市场竞争常常优胜劣汰。
优越	?	superior; advantageous	这里的自然条件很优越。
伙伴	?	partner	他是一名伙伴。
会	mv	can; know how to	我会说汉语。
会议	?	meeting; conference	下午有一个会议。
会议室	?	meeting room; conference room	我们在会议室开会。
伞	?	umbrella	下雨了，带伞吧。
传授	v	to teach; pass on	老师把经验传授给学生。
传真	?	fax; to fax	请把材料传真给我。
传统	?	tradition; traditional	传统文化
传记	?	biography	我正在看一位科学家的传记。
传说	?	legend	我想了解传说。
传达	v	to convey; communicate	请把这个消息传达给大家。
伤害	v	to harm; hurt	不要伤害别人。
伤心	a	sad	他很伤心。
伤脑筋	?	troublesome; cause a headache	这个问题真伤脑筋。
估计	v	to estimate; reckon	我估计他八点到。
伴侣	?	partner; companion	他们是多年的伴侣。
伴随	v	to accompany; go with	成长总会伴随变化。
伸	v	to stretch; extend	伸手
伺候	v	to wait on; serve	她在医院伺候老人。
似乎	?	seemingly	他似乎不太高兴。
似的	part	like; as if	他累得像跑了很远似的。
但	conj	but; yet	我想去，但今天很忙。
但是	conj	but; however	我想去，但是没有时间。
位	mw	polite measure word for people	那位老师姓王。
位于	v	to be located	学校位于市中心。
位置	?	position; location	我去过这个位置。
低	a	low	今天温度很低。
低于	?	lower than; below	今天气温低于十度。
低落	?	depressed; down	心情低落
住	v	to live; to stay	我住在北京。
住院	v	to be hospitalized	他住院了。
体会	v	to realize through experience; feeling	我慢慢体会到他的心情。
体温	?	body temperature	量体温
体现	v	to reflect; embody	这个故事体现了友谊。
体积	?	volume; size	这个箱子的体积很大。
体系	?	system; framework	学校建立了新的教学体系。
体育	?	physical education; sports	我喜欢体育。
体育馆	?	gymnasium; sports hall	我们去体育馆打球。
体谅	v	to understand; show consideration for	请体谅一下他的难处。
体贴	?	considerate	他很体贴。
体面	?	respectable; decent	他穿得很体面。
体验	v	to experience	我想体验当地生活。
何况	?	let alone; moreover	他都不会，何况我呢？
何必	?	why bother	何必这么着急？
作业	?	homework	我在做作业。
作为	v	to be; as	作为老师，他很认真。
作品	?	work of art or literature	这是他的最新作品。
作家	?	writer	他是作家。
作息	?	work and rest schedule	我的作息很规律。
作战	v	to fight a battle	士兵正在准备作战。
作文	?	composition; essay	我想了解作文。
作用	?	function; effect	这个办法有作用。
作者	?	author	他是作者。
作风	?	style; manner of work	他的工作作风很认真。
你	pron	you	你好。
你们	pron	you (plural)	你们好。
你好	?	hello	你好！
佩服	v	to admire	我很佩服他。
佳肴	?	delicious food; fine dish	桌上有很多佳肴。
使	v	to make; cause	运动使身体更健康。
使劲(儿)	v	to exert oneself	他使劲儿推门。
使命	?	mission; duty	教育是他的使命。
使用	v	to use	我会使用电脑。
侃侃而谈	v	to speak confidently and fluently	他在会上侃侃而谈。
例外	?	exception	这个规定没有例外。
例如	?	for example	我喜欢运动，例如游泳。
供不应求	?	demand exceeds supply	这种产品现在供不应求。
依托	v	to rely on; base on	项目依托大学开展研究。
依据	?	according to; basis	请依据事实判断。
依旧	adv	still; as before	多年过去，他依旧住在这里。
依然	adv	still; as before	下雨了，他依然出发了。
依赖	v	to rely on; depend on	不要过度依赖手机。
依靠	v	to rely on; depend on	我们不能总依靠别人。
侥幸	?	lucky by chance; to take chances	他侥幸通过了考试。
侦探	?	detective	他喜欢看侦探小说。
侧面	?	side; profile	我从侧面拍了一张照片。
侵犯	v	to violate; invade	不能侵犯别人的隐私。
便	adv	then; in that case	准备好了，我们便出发。
便于	v	to make convenient; be convenient for	这个设计便于携带。
便利	a	convenient	这里交通很便利。
便宜	a	cheap; inexpensive	这个很便宜。
促使	v	to prompt; spur	这件事促使他改变。
促进	v	to promote; accelerate	促进发展
俗话	?	common saying; proverb	俗话说，时间就是金钱。
保存	v	to keep; to save	保存文件
保守	?	conservative; keep secret	他的想法比较保守。
保密	v	to keep secret; confidential	这件事请你保密。
保护	v	to protect	我们要保护环境。
保留	v	to reserve; keep	保留意见
保管	v	to guarantee; keep	这家店的菜保管好吃。
保证	v	to guarantee	我们要保证质量。
保重	?	take care of yourself	你要好好保重身体。
保险	?	insurance	我想了解保险。
保障	v	to guarantee; safeguard	法律保障我们的权利。
信仰	?	belief; faith	我们要尊重不同信仰。
信号	?	signal	这里没有信号。
信封	?	envelope	信在信封里。
信心	?	confidence	我有信心。
信念	?	belief; conviction	他有坚定的信念。
信息	?	information	这是重要信息。
信用卡	?	credit card	我有一张信用卡。
信誉	?	reputation; creditworthiness	这家公司信誉很好。
信赖	v	to trust; rely on	大家都很信赖他。
俩	num	two; both	我们俩是同学。
修养	?	cultivation; manners; self-cultivation	他说话很有修养。
修复	v	to repair; restore	工人正在修复这座桥。
修建	v	to build; construct	这里正在修建一座桥。
修理	v	to repair	他在修理电脑。
倍	?	times; -fold	这个比那个贵一倍。
倒	?	actually; on the contrary	这个办法倒不错。
倒闭	v	to go bankrupt; close down	那家店已经倒闭了。
倒霉	?	unlucky	他很倒霉。
倘若	?	if; supposing	倘若有时间，我会去看看。
借	v	to borrow; to lend	我想借这本书。
借助	?	with the help of; to make use of	我借助词典读完了这篇文章。
借口	?	excuse; to use as an excuse	别拿忙当借口。
借鉴	v	to learn from; use for reference	我们可以借鉴别人的经验。
倡导	v	to advocate	学校倡导健康生活。
倡议	?	proposal; initiative	大家支持这个倡议。
值得	v	to be worth	这本书值得看。
倾向	v	to tend to; tendency	我更倾向于第二个方案。
倾听	v	to listen attentively	请认真倾听别人的意见。
假	?	fake; false	这个是假的。
假如	?	if; in case	假如下雨，我们就在家。
假期	?	holiday; vacation	这个假期
假设	v	to suppose; assume	我们先假设他会来。
偏偏	adv	just; contrary to expectation	我想早点儿走，偏偏下雨了。
偏僻	?	remote; out-of-the-way	这个村子很偏僻。
偏见	?	prejudice; bias	我们要减少对别人的偏见。
做	v	to do; to make; to cook	妈妈会做中国菜。
做主	v	to decide; be in charge	这件事你自己做主。
做事	v	to do things; work	他做事很认真。
做客	v	to be a guest	明天我去朋友家做客。
做法	?	way of doing something	这个做法很好。
做饭	v	to cook	会做饭
停	v	to stop	车停在门口。
停泊	v	to berth; anchor	船停泊在港口。
停顿	v	to pause; pause	他说到这里停顿了一下。
健全	?	sound; complete; healthy	我们需要健全的制度。
健康	a	healthy; health	运动让身体更健康。
健身	v	to work out	他正在健身。
偶像	?	idol; role model	他是很多年轻人的偶像。
偶尔	?	occasionally	我偶尔喝咖啡。
偶然	?	accidental; by chance	我偶然遇到了他。
傍晚	?	towards evening; at dusk	我记得那个傍晚。
储备	v	to store; reserve	我们需要储备一些食物。
储存	v	to store	手机可以储存很多照片。
储蓄	?	savings; to save money	他把一部分工资用于储蓄。
催	v	to urge	妈妈催我快点儿。
傻	?	foolish	他很傻。
像	v	to resemble; like	她长得像妈妈。
僵硬	?	stiff; rigid	坐太久，身体有点儿僵硬。
儒家	?	Confucianism; Confucian school	这本书介绍儒家思想。
儿子	?	son	我有一个儿子。
儿童	?	children	儿童不能喝酒。
允许	v	to allow	这里不允许抽烟。
元	?	yuan	这本书二十元。
元宵节	?	Lantern Festival	元宵节我们吃汤圆。
元旦	?	New Year's Day	我记得那个元旦。
元素	?	element; factor	音乐是这部电影的重要元素。
兄弟	?	brothers	他们是亲兄弟。
充分	?	sufficient; ample	准备充分
充实	a	rich; fulfilling; to enrich	我的周末过得很充实。
充满	v	to be full of	房间里充满阳光。
充电宝	?	power bank	我的充电宝没电了。
充足	?	sufficient; ample	我们有充足的时间。
先	?	first; before	你先吃饭吧。
先前	?	previously; before	我先前见过他。
先生	?	Mr.; sir; husband	先生，您好。
先进	?	advanced	这是先进技术。
光	adv	only; merely	光说不做不行。
光临	v	to visit; patronize	欢迎光临！
光彩	?	glory; brilliance	她今天显得很有光彩。
光明	a	bright; promising	未来是光明的。
光滑	?	smooth	这个表面很光滑。
光线	a	light; ray	我想了解光线。
光芒	?	ray; radiance	太阳发出耀眼的光芒。
光辉	?	glory; radiance	太阳发出光辉。
克制	v	to restrain; control	他努力克制自己的情绪。
克服	v	to overcome	克服困难
免得	?	so as to avoid; lest	早点儿出门，免得迟到。
免疫	?	immunity; immune	运动有助于提高免疫力。
免费	?	free of charge	这里可以免费停车。
兑现	v	to fulfill; cash	他说到做到，兑现了承诺。
兜	?	pocket; bag	他把钥匙放进口兜里。
兢兢业业	?	careful and conscientious	他兢兢业业工作了二十年。
入住	v	to move/check in	我们今天入住。
入口	?	entrance	入口在前面。
入学	v	to enter school	我今年入学。
全	?	all; whole	我们全到了。
全力以赴	v	to go all out	比赛时我们要全力以赴。
全部	?	all; whole	我全部看完了。
全面	?	comprehensive	我们要全面考虑。
八	num	eight	我八点上班。
公交车	?	bus	我坐公交车上班。
公元	?	Common Era	我记得那个公元。
公共汽车	?	bus	我坐公共汽车去公司。
公务	?	official business	他因公务出差。
公司	?	company	我在公司工作。
公园	?	park	我们去公园走走。
公安局	?	public security bureau; police bureau	他去公安局报案。
公寓	?	apartment	我租了一套公寓。
公布	v	to announce	学校公布了考试结果。
公开	v	to make public; open	公司公开了结果。
公式	?	formula	请记住这个公式。
公斤	?	kilogram	这个西瓜五公斤。
公然	?	openly; blatantly	他公然违反规定。
公认	?	widely recognized	他是公认的专家。
公道	?	fair; justice	这个价格很公道。
公里	?	kilometer	学校离我家两公里。
六	num	six	我六点下班。
共同	a	common; shared	我们有共同的爱好。
共计	?	in total; altogether	三项费用共计五千元。
关	v	to close; to turn off	请关门。
关于	prep	about; regarding	我看了一本关于中国的书。
关心	v	to care about; be concerned about	妈妈很关心我。
关怀	?	care; concern	谢谢大家的关怀。
关机	v	to turn off a device	上课请关机。
关注	v	to pay attention to; follow	我很关注这个问题。
关照	v	to look after; take care of	谢谢你一直关照我。
关系	?	relationship; relation	我跟他关系很好。
关键	?	key point; crucial	这个问题很关键。
关闭	v	to close; shut	关闭门
兴奋	a	excited	他很兴奋。
兴旺	?	prosperous; flourishing	这家店生意很兴旺。
兴致勃勃	?	full of enthusiasm; in high spirits	大家兴致勃勃地讨论起来。
兴趣	?	interest	我对中文很有兴趣。
兴隆	?	prosperous; thriving	祝你生意兴隆。
兴高采烈	?	cheerful; in high spirits	孩子们兴高采烈地出发了。
其中	?	among them	其中一个是我的。
其他	?	other; the rest	其他问题都不难。
其余	?	the rest	其余的人都到了。
其实	?	actually; in fact	其实我也不知道。
其次	?	second; next	首先看价格，其次看质量。
具体	?	specific; detailed	具体问题
具备	v	to possess; have	他具备工作需要的能力。
典型	?	typical; representative	这是一个典型例子。
养	v	to raise; keep; grow	我在家养花。
养成	v	to develop; form	要养成好习惯。
内	?	inside; within	请在三天内完成。
内在	?	inner; internal	我们要看到问题的内在原因。
内容	?	content	这篇文章内容很丰富。
内涵	?	meaning; connotation	这个故事有很深的内涵。
内部	?	inside; interior	我想了解内部。
册	?	volume	一册书
再	adv	again; then	明天再来吧。
再三	?	again and again	他再三向我道歉。
再接再厉	v	to make persistent efforts	成绩不错，还要再接再厉。
再次	adv	again; once more	希望你再次来中国。
再见	?	goodbye	老师，再见。
再说	?	besides; moreover; talk later	今天太晚了，明天再说吧。
冒充	v	to pretend to be; impersonate	他冒充工作人员。
冒犯	v	to offend	如果冒犯了你，我很抱歉。
冒险	v	to take a risk	不要为小事冒险。
写	v	to write	我会写汉字。
写作	v	to write; writing	她每天练习写作。
军事	?	military affairs	我想了解军事。
军队	?	army; troops	军队正在训练。
农业	?	agriculture	我想了解农业。
农历	?	lunar calendar	春节按农历计算。
农村	?	countryside	我去过这个农村。
农民	?	farmer	我想了解农民。
冠军	?	champion	他得了比赛冠军。
冤枉	v	to wrong; accuse unjustly	你冤枉我了。
冬天	?	winter	冬天很冷。
冬（天）	?	winter	冬天这里很冷。
冰	?	ice	水里有冰。
冰淇淋	?	ice cream	孩子喜欢吃冰淇淋。
