# 语法备注英文 (hand-authored, NOT machine-translated). 中文备注<TAB>English.
# Keyed by the EXACT 备注 text in the xlsx; merged into each grammar point as noteEn by convert_grammar.py.
“怎么”问做法；“怎么样”问情况、评价或状态。	怎么 asks how to do something; 怎么样 asks about a situation, opinion or state.
不是所有“的”都能省；本课先掌握亲属和亲近关系。	Not every 的 can be dropped; here just master family/close relationships.
语气可根据上下文表示“太……了”或强烈感叹“真……”。	Depending on context it can mean "too…" or a strong exclamation "really…".
这里“会”表示将来可能，不是第6课“会做某事”的技能。	Here 会 means future likelihood, not the "know how to" skill of Lesson 6.
电话里通常读 wéi。	On the phone it is usually read wéi.
“呢”可以省略：我在看书。	呢 can be dropped: 我在看书 (I'm reading).
电话号码不按“几十、几百”读，而是一个数字一个数字地读。	Phone numbers are read digit by digit, not as tens/hundreds.
“吧”让语气更柔和，常译为 “let’s / okay / why don’t…”.	吧 softens the tone, often "let's / okay / why don't…".
和第5课句末“了（变化）”区分：这里强调动作已经完成。	Unlike the sentence-final 了 (change) in Lesson 5, this 了 stresses a completed action.
“前”= before；“后”= after。	前 = before; 后 = after.
“啊”主要表达语气，英文常没有固定对应词。	啊 mainly conveys tone and often has no fixed English equivalent.
“都”通常放在动词或形容词前。	都 usually comes before the verb or adjective.
肯定句中“是”有时可省；否定通常用“不是……的”。	是 can sometimes be dropped in positive sentences; the negative is 不是…的.
年份按数字逐个读，如 2016 读“二零一六年”。	Years are read digit by digit, e.g. 2016 = 二零一六年.
HSK2里“要”常表示愿望、计划；否定愿望可用“不想/不要”，语境要自然。	In HSK2, 要 often means want/plan; negate the wish with 不想/不要 as context fits.
“最”表示在几个对象中程度最高。	最 marks the highest degree among several things.
“十几”通常约11–19；“二十多”表示20以上、不满30。	十几 is roughly 11–19; 二十多 means over 20 but under 30.
“是不是”比单纯“吗”更有确认语气。	是不是 carries more of a "confirm it, right?" tone than plain 吗.
“每”常和“都”一起出现：每个人都……	每 often pairs with 都: 每个人都… (everyone…).
常见搭配：多大、多高、多远、多久（更高等级会继续扩展）。	Common pairings: 多大/多高/多远/多久 (expanded at higher levels).
“的”后面的名词可以省略，但听话人必须知道说的是什么。	The noun after 的 can be dropped if the listener knows what is meant.
常用于请求，语气比只说动词更柔和。	Often used for requests; softer than just saying the verb.
“真”常带感叹语气。	真 usually carries an exclamatory tone.
用于已经发生的事情，强调“谁做的”。	Used for a past event, stressing "who did it".
“的时候”前面可以放时间、动作或小句。	Before …的时候 you can put a time, an action or a clause.
常见结构：已经……了。	Common pattern: 已经…了.
“就”常表达“早、快、顺利、紧接着”。	就 often conveys early / quick / smooth / right after.
“还没……” = “not yet”.	还没… = "not yet".
“有点儿”通常放在形容词前。	有点儿 usually goes before an adjective.
HSK1的“怎么”主要问方法；这里学习“怎么”问原因。	HSK1's 怎么 asks "how"; here 怎么 asks "why".
HSK2重点掌握“个个”；常和“都”搭配。	Focus on 个个 here; it often pairs with 都.
口语里有时可省略“因为”或“所以”，初学先掌握完整结构。	In speech 因为 or 所以 can be dropped; beginners should learn the full pattern first.
本课强调“状态还在继续”。	This lesson stresses that a state is still continuing.
和“才”形成对比会在更高等级继续学习。	The contrast with 才 is studied further at higher levels.
“离”后面放参照地点。	Put the reference place after 离.
本课“呢”强调当前动作或状态。	Here 呢 stresses the current action or state.
语气比较柔和，常用于建议或请求。	The tone is soft; often used for suggestions or requests.
“再”多用于还没有发生的重复；“又”多用于已经发生的重复。	再 is for repetition not yet happened; 又 is for repetition already happened.
本级先掌握最常见的“让、请、叫 + 人 + 动词”。	At this level master the common 让/请/叫 + person + verb.
单音节动词常用AA或A一A；语气轻松。	Monosyllabic verbs use AA or A一A; the tone is casual.
HSK2常见：看见、听懂、做完、写错、找到。	Common in HSK2: 看见, 听懂, 做完, 写错, 找到.
“从”可以介绍地点、时间或过程的起点。	从 introduces the starting point of a place, time or process.
“第”把基数词变成序数词。	第 turns a cardinal number into an ordinal.
“别”更口语；“不要”也很常用。	别 is more colloquial; 不要 is also very common.
“对”后面是动作、态度或评价所针对的对象。	After 对 comes the target of the action, attitude or judgement.
定语较长时，“的”通常不能省。	When the modifier is long, 的 usually cannot be dropped.
“比”字句里形容词前一般不用“很”。	In a 比 sentence, don't put 很 before the adjective.
“可能”表示不确定的判断。	可能 expresses an uncertain judgement.
有宾语时常重复动词：他说汉语说得很好。	With an object the verb is repeated: 他说汉语说得很好.
本课是在基本“比”字句上的程度扩展。	This extends the basic 比 sentence to express degree of difference.
“着”强调状态持续；不要和“正在……呢”的进行动作混淆。	着 stresses a continuing state; don't confuse it with the ongoing action 正在…呢.
形式是疑问，常带“我以为是这样”的语气。	It looks like a question but carries an "I thought so" tone.
“往”后面常接前、后、左、右等方向词。	往 is often followed by a direction word: 前/后/左/右.
否定常用“没(有) + 动词 + 过”。	The negative is usually 没(有) + verb + 过.
“虽然”说明让步条件，“但是”引出转折结果。	虽然 states a concession; 但是 introduces the contrasting result.
“次”是最常用的动作次数量词。	次 is the most common measure word for number of times.
表示临近发生；“快要/就要”更强调“马上”。	Shows something is about to happen; 快要/就要 stresses "very soon".
常带说话人的感情色彩：觉得时间晚、数量多、情况已经明显。	Carries the speaker's feeling: it's late, it's a lot, or it's already obvious.
“好”表示动作完成，并常有“已经准备好”的意思。	好 marks completion, often with the sense of "ready/done well".
“不”多否定习惯/现在；“没”多否定已经发生的动作。	不 negates habits/present states; 没 negates actions that have (not) happened.
这里“那”不是指示代词“that”，而是承接前文结果。	Here 那 is not the demonstrative "that"; it links to the previous statement.
两个动作按时间先后排列，第二个动作紧接着发生。	The two actions follow time order; the second happens right after the first.
地点宾语常放在“来/去”前：回学校去；事物宾语位置较灵活。	A place object goes before 来/去 (回学校去); a thing object is more flexible.
反问不是在真正提问，而是强调说话人的判断。	A rhetorical question isn't a real question; it stresses the speaker's judgement.
最简单记法：有选择的疑问句用“还是”；陈述句常用“或者”。	Simple rule: use 还是 in choice questions, 或者 in statements.
重点是“存在 + 持续状态”，不是强调动作正在进行。	The point is existence + a lasting state, not an action in progress.
这里“会”表示可能，不是“会说汉语”的技能意义。	Here 会 means likelihood, not the "know how to" sense (as in 会说汉语).
两个部分一般是相同词性的特点或动作。	The two parts are usually features/actions of the same word class.
V1是伴随状态，V2是主要动作。	V1 is the accompanying manner/state; V2 is the main action.
重点是“现在和以前不一样了”。	The point is "things are different from before now".
“越来越”后面通常直接接形容词或少数心理动词。	越来越 is usually followed directly by an adjective or a few mental verbs.
可能补语说“能不能达到结果”，和一般的“能 + 动词”意思接近但结构不同。	A potential complement says whether a result can be reached; close to 能 + verb but different in structure.
这里“呢”省略了“在哪儿”。	Here 呢 leaves out "在哪儿 (where)".
“刚”是副词；“刚才”是时间名词，可以放在主语前。	刚 is an adverb; 刚才 is a time noun and can go before the subject.
“时段”表示长度，如十分钟、两个月、三年。	A duration shows length, e.g. ten minutes, two months, three years.
“感兴趣”前常用介词“对”引出对象。	Use 对 before 感兴趣 to introduce what you're interested in.
“刻”=15分钟；“差”从下一个整点往前算。	刻 = 15 minutes; 差 counts back from the next full hour.
简单记：过去/已发生多用“又”；未来/还没发生多用“再”。	Simple rule: 又 for the past/done, 再 for the future/not yet.
前后通常使用同一个疑问代词；此时不是真正提问。	The same question word appears twice; it isn't a real question.
两个“越”后面的内容可以是动作，也可以是状态。	After each 越 you can have either an action or a state.
“一样”后可直接结束，也可再加形容词说明哪方面一样。	一样 can end the clause or be followed by an adjective saying how they're alike.
“很/非常”一般不能直接放在“比”字句的形容词前。	很/非常 normally can't go before the adjective in a 比 sentence.
一般使用相邻数字，如“一两、两三、四五”。	Use adjacent numbers, e.g. 一两, 两三, 四五.
“把”后的宾语通常是明确、已知的事物；动词后一般不能什么都没有。	The 把 object is usually definite/known, and the verb can't stand bare afterwards.
“左右”放在数量表达后面。	左右 goes after the quantity.
“才”常让人感觉晚、慢、少；“就”常让人感觉早、快、容易。	才 feels late/slow/few; 就 feels early/fast/easy.
本课重点是“把”字句后出现地点或接受者：在、到、给。	Focus: the 把 sentence with a place or recipient after the verb: 在/到/给.
“来”朝说话人方向，“去”离开说话人方向。	来 is toward the speaker; 去 is away from the speaker.
两个动作通常可以同时进行。	The two actions usually happen at the same time.
本课强调“把”字句中的结果补语或趋向补语。	Focus: a result or directional complement in the 把 sentence.
“再”常用于下一步；“又”可用于叙述已经发生的第二个动作。	再 is for the next step; 又 can narrate a second action that already happened.
“都”常表示排除一个范围；“还/也”常表示在原有内容上增加。	都 excludes (except…); 还/也 add one more item.
这里“什么”不是要求一个确定答案，而表示不确定的人或事物。	Here 什么 doesn't ask for a definite answer; it means "something/anything".
“极了”放在形容词后面，程度比“很”强。	极了 goes after an adjective and is stronger than 很.
“的话”可以省略，但“如果……就……”是最清楚的基本结构。	的话 can be dropped, but 如果…就… is the clearest basic pattern.
“得”后面不是简单形容词，而可以是一整个短语或小句。	After 得 you can have a whole phrase or clause, not just one adjective.
常用来描写外貌和事物特点，语气生动。	Often describes looks and features, in a vivid tone.
双音节动词一般用ABAB，不说AABB。	Two-syllable verbs reduplicate as ABAB, not AABB.
这些疑问代词不表示疑问，而表示一个范围里的“每一个/任何一个”。	Here the question words aren't questions; they mean "every/any one".
“只要”强调这个条件一满足，后面的结果就可以发生。	只要 stresses that once the condition is met, the result can happen.
“关于 + 话题”常放在句首；修饰名词时常用“关于……的 + 名词”。	关于 + topic often opens the sentence; to modify a noun use 关于…的 + noun.
HSK3重点掌握“出来=产生/识别”，“下来=状态由强到弱/由动到静”，“起来=回忆有结果”。	Focus: 出来 = produce/identify, 下来 = fading/settling, 起来 = successful recall.
“使”较书面；“叫、让”更口语。三者都可以表示“使某人/某物产生某种结果”。	使 is more formal; 叫/让 are colloquial; all mean "cause someone/something to…".
HSK3先掌握最基本结构；否定通常用“没（有）被……”。	Learn the basic pattern first; the negative is usually 没(有)被….
“只要……就……”=条件够了就行；“只有……才……”=这个条件是必须的。	只要…就… = enough condition; 只有…才… = a necessary condition.
两个分句主语相同时，“不仅”一般放在主语后。	When both clauses share a subject, 不仅 usually goes after the subject.
“从来”最常和否定形式一起使用。	从来 is most often used with a negative.
“刚才”可以放在主语前；“刚”一般紧靠动词。	刚才 can go before the subject; 刚 stays close to the verb.
前面是假设条件，后面的结果不受这个条件影响。	The first part is a hypothetical; the result holds regardless of it.
这里的“上”不是方位，而是表示某个方面。	Here 上 isn't a location; it marks an aspect/respect.
“正好”表示时间、数量或情况非常合适。	正好 means a time, amount or situation fits perfectly.
“差不多”还能表示两者接近；“几乎”更常修饰动作或范围。	差不多 can mean "close/similar"; 几乎 more often modifies an action or scope.
“尽管”说的是已经存在的事实，后面出现与预期不同的结果。	尽管 states an existing fact, followed by an unexpected result.
“却”一般放在第二个分句的主语后、谓语前。	却 usually sits after the subject and before the predicate of the second clause.
“而”比“但是、和”更书面，具体意思要看上下文。	而 is more formal than 但是/和; its exact sense depends on context.
口语中很常见，句尾常加“的”。	Very common in speech, often ending with 的.
“本来”强调原来的计划或情况，后来可能发生变化。	本来 stresses the original plan/situation, which may later change.
“另”通常不能单独使用；“另外”可以连接补充信息。	另 usually can't stand alone; 另外 can introduce extra information.
常用于比较正式地列出两点或多点。	Used to list two or more points fairly formally.
“不管”后常用疑问词、正反形式或选择关系。	不管 is followed by a question word, a yes-no form, or a choice.
“以为”常暗示后来发现原来的想法不对。	以为 implies you later found your assumption was wrong.
“原来”常有“现在才知道”的感觉；“本来”强调原先。	原来 carries "I only just realized"; 本来 stresses the original state.
“并”在这种用法中通常必须和否定词一起出现。	In this use 并 must appear together with a negative.
“按照”后面常接计划、规定、方法、要求等。	按照 is followed by a plan, rule, method, requirement, etc.
“甚至”后面的情况通常比前面更特别、更进一步。	What follows 甚至 is usually more extreme than what came before.
作副词时表示很有把握；作动词时表示“确认/认为确定”。	As an adverb it means "surely"; as a verb, "to confirm/be sure".
要根据上下文判断是“补充理由”还是“以后再谈”。	Context decides whether it adds a reason or means "talk about it later".
“实际”常修饰名词；“实际上”常修饰整个句子。	实际 usually modifies a noun; 实际上 modifies the whole sentence.
表示评价或判断所站的角度。	Marks the viewpoint from which a judgement is made.
“尤其”常用于从前面范围中突出一个；“特别”用途更广。	尤其 singles one out from a set; 特别 is broader in use.
“竟然”带明显的惊讶、出乎意料语气。	竟然 carries clear surprise, "unexpectedly".
注意英语和汉语对倍数理解有时不同；初学先掌握“A是B的两倍”。	Multiples work differently in English/Chinese; first master "A 是 B 的两倍".
“值得”后接动作；“值”常直接接价格或价值。	值得 is followed by an action; 值 is followed by a price or value.
前文先有一个整体范围，“其中”再从里面提出一部分。	First a whole is mentioned; 其中 then singles out a part of it.
这里的“下”不是方位，而表示条件、环境或影响。	Here 下 isn't a location; it marks a condition/environment/influence.
“估计”强调人的判断；“可能”直接表示可能性。	估计 stresses a person's estimate; 可能 states possibility directly.
反义形式是“来得及”。	Its opposite is 来得及 (to have enough time).
离合词不能简单按普通双音节动词重叠成ABAB。	Separable verbs don't reduplicate as ABAB like ordinary two-syllable verbs.
“要是”比“如果”更口语。	要是 is more colloquial than 如果.
强调两个特点或情况同时存在。	Stresses that two features/situations coexist.
“使”比较书面；口语中常用“让”。	使 is more formal; speech prefers 让.
强调这个条件一满足，后面的结果就可以发生。	Stresses that once the condition holds, the result can occur.
是口语固定说法，不是普通的“不是”否定句。	A fixed spoken expression, not an ordinary 不是 negative.
“因此”常用于书面语或较正式表达。	因此 is used in writing or more formal speech.
“往往”常和某种条件、规律一起出现；“经常/常”更普通。	往往 pairs with a condition/pattern; 经常/常 are more general.
反问通常表达说话人已经有明显判断。	The rhetorical question shows the speaker already has a clear judgement.
“通过”强调手段；“经过”强调过程或经过某地。	通过 stresses the means; 经过 stresses the process or passing a place.
“可是”与“但是”意思接近，口语很常用。	可是 is close to 但是 and very common in speech.
常表示事情最后出现的实际结果。	Marks the actual result that finally occurred.
“上”放在百、千、万前表示大概超过这个数量级。	上 before 百/千/万 means "up to/over" that order of magnitude.
“不过”常用于补充一个限制；“但是”是普通转折。	不过 adds a mild qualification; 但是 is a plain contrast.
强调说话人确认某个事实是真的。	Stresses the speaker confirms a fact is true.
用于明确说明一个观点是从谁的角度出发。	Makes clear whose viewpoint an opinion comes from.
“由于”更书面，后面常和“因此”搭配。	由于 is more formal and often pairs with 因此.
“比如”后面直接给出具体例子。	比如 is followed directly by a concrete example.
“连”提出最意外或最极端的例子，“都/也”呼应。	连 raises the most surprising/extreme case, echoed by 都/也.
前面通常是应该做的事，后面说明不这样做的结果。	The first part is what should be done; then the result of not doing it.
两者基本意思相同；“无论”书面感稍强。	The two are basically the same; 无论 feels a bit more formal.
比“但是、可是”更书面。	More formal than 但是/可是.
既可以表示两件事同一时间发生，也可以连接并列信息。	Can mean two things happen at once, or link parallel information.
“并且”比“而且”更适合连接两个并列动作或情况。	并且 suits linking two parallel actions/situations better than 而且.
配套课程标注为HSK5扩展；教材中出现，可作为理解项。	Marked as an HSK5 extension; appears in the text as a comprehension item.
配套课程标注为HSK5扩展；“对于”偏对象，“关于”偏话题。	HSK5 extension: 对于 targets an object, 关于 a topic.
通常和“都”一起使用。	Usually used together with 都.
可作形容词，也可放在后一个分句前表示相反结果。	Can be an adjective, or open the second clause to show an opposite result.
“大概”还能表示约数；“也许”主要表示可能性。	大概 can also give an approximate number; 也许 mainly shows possibility.
频率低于“有时、经常”。	Lower in frequency than 有时/经常.
“由”比较书面，可表示起点，也可引出负责人。	由 is formal; it can mark a starting point or introduce who's responsible.
常和“讨论、调查、研究、比赛、考试”等搭配。	Often pairs with 讨论/调查/研究/比赛/考试.
前后通常是一起发展或变化的情况。	The two parts usually develop or change together.
“够 + 形容词”表示程度达到要求。	够 + adjective means the degree meets the requirement.
“以”常和上、下、东、西等组成固定方位/范围表达。	以 combines with 上/下/东/西 into fixed position/range expressions.
“既然”提出已经确定的事实，“就”给出自然结论。	既然 states an established fact; 就 gives the natural conclusion.
“于是”常讲故事中的顺序结果；“因此”更偏逻辑因果。	于是 tells a sequential result in a story; 因此 is more logical cause-effect.
口语常用，表示还有别的类似内容没有全部说出来。	Colloquial; means there are more similar things left unsaid.
“起来”在这里不是实际方向，而表示记忆从无到有。	Here 起来 isn't a real direction; it marks recall coming to mind.
口语里用途很广，常和结果补语一起使用。	Very versatile in speech, often used with a result complement.
“千万”语气更强，常用于提醒、警告；“一定”更普通。	千万 is stronger, for reminders/warnings; 一定 is more neutral.
本课重点是“来”表示由谁做某件事。	Focus: 来 indicating who will take on an action.
放在数量表达后面。	Placed after the quantity.
这里“可”不是“可以”，而是加强说话人的语气。	Here 可 isn't 可以; it strengthens the speaker's tone.
“恐怕”常是委婉地表达担心或不好的判断。	恐怕 politely expresses worry or a bad guess.
常带着急、好奇或追问的语气。	Carries an impatient, curious or pressing tone.
用于从一个具体例子开始说明观点。	Used to make a point starting from a concrete example.
表示有没有勇气做某事。	Shows whether one dares to do something.
“倒”常有“跟想象不一样”或温和转折的感觉。	倒 often feels "contrary to expectation" or a mild turn.
很口语，具体意思由宾语决定。	Very colloquial; its meaning depends on the object.
“趟”强调来回/去一处的行程；“次”适用范围更广。	趟 stresses a trip to and from a place; 次 is broader.
“而”有时可以省略；完整结构更正式。	而 can sometimes be dropped; the full pattern is more formal.
“仍然”比“还”正式，常出现在书面语。	仍然 is more formal than 还 and common in writing.
多用于书面语、间接疑问句。	Mostly used in writing and indirect questions.
表示身体或心理上能不能承受。	Shows whether one can physically or mentally bear it.
“接着”更强调紧接前面的动作。	接着 stresses coming right after the previous action.
“此”指前面已经说过的内容。	此 refers to what was just mentioned.
表示给人、事物或概念一个名称。	Gives a name to a person, thing or concept.
前面其实可以理解为省略了“不管/无论”。	The first part can be read as omitting 不管/无论.
“上”除了方向，还能表示动作达到结果或进入一种新状态。	Besides direction, 上 can mark reaching a result or entering a new state.
常见引申：看出来、听出来、想出来、说出来。	Common extensions: 看出来, 听出来, 想出来, 说出来.
常放在总结句的开头。	Usually opens a summarizing sentence.
常和“问题、关键、原因、区别”等词搭配。	Often pairs with 问题/关键/原因/区别.
表示一个动作持续一段时间后发生新的情况。	Shows a new situation arising after an action goes on for a while.
两个动作相隔时间很短。	The two actions are only a very short time apart.
两者意思很接近；“到底”口语更常见。	The two are very close; 到底 is more common in speech.
常见：看起来、听起来、吃起来，以及“天气冷起来了”。	Common: 看起来, 听起来, 吃起来, and 天气冷起来了.
常见固定搭配：说起、谈起、提起。	Common fixed pairings: 说起, 谈起, 提起.
“如何”较书面，“怎么”更口语。	如何 is more formal; 怎么 is more colloquial.
常见：靠自己、靠努力、靠经验。	Common: 靠自己, 靠努力, 靠经验.
和“竟然”意思接近，常带惊讶语气。	Close to 竟然; carries surprise.
常和“一直、已经”等搭配。	Often pairs with 一直/已经.
常见：临走、临出门、临考试。	Common: 临走, 临出门, 临考试.
和“马上”接近，“立刻”稍正式。	Close to 马上; 立刻 is slightly more formal.
“包括”后面列出整体中的成员或部分。	包括 lists members or parts of a whole.
“各自”强调每个人/每一方自己。	各自 stresses each person's/side's own.
常见于通知、标志和正式书面语。	Common in notices, signs and formal writing.
作副词时表示“随时、一直”。	As an adverb it means "at any time / all along".
较书面，常和“仍、还、没有”搭配。	Rather formal; pairs with 仍/还/没有.
HSK5量词语言点之一。	One of the HSK5 measure-word points.
都是口语程度表达；“不得了”语气最强。	All are colloquial degree markers; 不得了 is the strongest.
“反而”表示与正常预期相反。	反而 marks the opposite of what's normally expected.
较书面，强调前面的行为带来后面的结果。	Rather formal; stresses that the earlier act leads to the later result.
常见于书面语：位于、由于、对于、高于、低于等。	Common in writing: 位于, 由于, 对于, 高于, 低于.
读 wéi；常见结构：以A为B、选为、认为。	Read wéi; common: 以A为B, 选为, 认为.
常见：看起来、听起来、说起来、热起来。	Common: 看起来, 听起来, 说起来, 热起来.
和“帮、给”有时接近，但“替”强调代替某人。	Close to 帮/给, but 替 stresses doing it in someone's place.
口语感较强，表示可能性不确定。	Fairly colloquial; expresses uncertain possibility.
“似”在这里通常读 shì。	Here 似 is usually read shì.
主语一般是复数或群体。	The subject is usually plural or a group.
口语，有时语气较直接。	Colloquial, sometimes rather blunt.
“分别”强调一个一个、各自对应。	分别 stresses one by one / each respectively.
“便”比“就”更书面。	便 is more formal than 就.
常有“没想到/相反”的感觉，语气比“却”柔和。	Carries "unexpectedly/contrary", softer than 却.
常见：想来想去、说来说去、看来看去、走来走去。	Common: 想来想去, 说来说去, 看来看去, 走来走去.
口语很常见；既可提建议，也可表示“否则”。	Very colloquial; can suggest, or mean "otherwise".
“互相”不能直接作定语；“彼此”可作主语/宾语/定语。	互相 can't be a modifier; 彼此 can be subject/object/modifier.
“算”常表示按某个标准判断。	算 often means to judge by some standard.
可表示身份，也可表示用途。	Can mark a role/identity or a use/purpose.
常和“过”一起表示过去经历。	Often used with 过 for a past experience.
常用于解释、让步或提醒对方注意一个事实。	Used to explain, concede, or point out a fact.
强调变化一步一步发生。	Stresses that change happens step by step.
与“也许”接近，稍书面。	Close to 也许, slightly more formal.
是趋向补语的引申用法，不一定表示真实移动。	An extended directional use; not necessarily real movement.
较书面；常见“所说、所想、所需要、所看到”。	Rather formal; e.g. 所说, 所想, 所需要, 所看到.
注意“相当”与“相当于”的结构不同。	Note that 相当 and 相当于 differ in structure.
这里读 shù，不是 shǔ“数数”。	Read shù here, not shǔ (as in 数数, to count).
多用于书面列举，通常连接最后一项。	Mostly for written lists, usually joining the last item.
常见“达到……程度、严重程度、一定程度上”。	Common: 达到…程度, 严重程度, 一定程度上.
后一情况通常比前面更明显、更不用说。	The latter case is even more obvious, "let alone".
常用反问形式，意思是“没必要”。	Often a rhetorical question meaning "there's no need".
通常说的是积极条件带来的好结果。	Usually a helpful condition leading to a good result.
可中性解释概念，也可带怀疑/讽刺语气。	Can neutrally explain a term, or carry doubt/sarcasm.
常见书面结构：而……则……；如果……则……。	Common written patterns: 而…则…; 如果…则….
较正式、书面，相当于“被”。	Formal/written, equivalent to 被.
常见搭配：说起、谈起、提起。	Common pairings: 说起, 谈起, 提起.
常见“比不过、说不过、打不过、忙不过来”等。	Common: 比不过, 说不过, 打不过, 忙不过来.
表示早晚一定会发生。	Means it is bound to happen sooner or later.
较书面，通常修饰提醒、考虑、要求、说明等。	Rather formal; modifies remind/consider/require/explain.
“即”很书面，常见“即使、即将、即为、即可”。	即 is very formal; e.g. 即使, 即将, 即为, 即可.
强调不是大多数。	Stresses it is not the majority.
语气较强；口语中也常见“非要……不可”。	Rather strong; speech often uses 非要…不可.
较书面，常见“以……为……、以……方式”。	Rather formal; e.g. 以…为…, 以…方式.
可表示“平时”，也可表示“普通”。	Can mean "usually" or "ordinary".
用于两种选择中明确偏向一种。	Used to clearly favor one of two choices.
比“很、非常”更强且更书面。	Stronger and more formal than 很/非常.
表示除已经提到的部分以外剩下的。	Means the rest, apart from what's already mentioned.
前面给事实/证据，后面给判断。	First give the facts/evidence, then the conclusion.
“般”较书面，常见“……般的、一般”。	般 is rather formal; e.g. …般的, 一般.
现代口语最常见的是“闻到、闻起来”。	In modern speech the most common are 闻到, 闻起来.
“趁”后面一般是有利时机。	趁 is followed by a favorable opportunity.
常见：买不起、住不起、承担不起、看不起（另有“轻视”义）。	Common: 买不起, 住不起, 承担不起, 看不起 (also "look down on").
HSK5量词语言点之一；“支”作动词还能表示支持、撑住。	An HSK5 measure word; as a verb 支 can also mean support/prop up.
常见：凭经验、凭证据、凭什么。	Common: 凭经验, 凭证据, 凭什么.
语气较强，常表示勉强、强行或固执。	Rather strong; often reluctant, forced or stubborn.
“偶然”强调事情出乎计划；“偶尔”强调频率低。	偶然 stresses "by chance"; 偶尔 stresses low frequency.
常用于请求、计划和正式沟通。	Used in requests, plans and formal communication.
强调某个条件一发生，后果就会出现。	Stresses that once a condition occurs, the consequence follows.
通常表示不希望发生但很难完全避免。	Usually something unwanted but hard to fully avoid.
“自从”后面是时间起点。	自从 is followed by a starting point in time.
常见：意见一致、保持一致、一致认为。	Common: 意见一致, 保持一致, 一致认为.
常用于不知道、不方便说或不需要说具体是谁。	Used when the specific person is unknown, awkward or needless to name.
和“多亏”相近，但“幸亏”后通常接小句。	Close to 多亏, but 幸亏 is usually followed by a clause.
常见搭配：采取行动、立即行动、实际行动。	Common: 采取行动, 立即行动, 实际行动.
“义务”可作名词，也可修饰“劳动、教育”等。	义务 can be a noun or modify 劳动/教育.
和“往”接近；“朝”还可表示建筑物朝向。	Close to 往; 朝 can also mean which way a building faces.
带强烈感情色彩，常用于夸张或惊讶。	Strongly emotive; used for exaggeration or surprise.
